Episódio;Título;Descrição
S07E03;De férias com o tradutor: Os desafios da tradução de reality shows — Will Xavier;Alguns dos maiores “vilões” para quem traduz na área audiovisual, seja para dublagem ou legendagem, são os reality shows. Nesta palestra, vamos ver quais os principais aspectos dessa modalidade de programa, algumas estratégias úteis para melhorar a qualidade da tradução e por que os reality shows são considerados uma escola para quem trabalha com tradução audiovisual. Vamos analisar alguns trechos de programas que já estão no ar e descobrir que traduzir reality shows pode ser muito divertido.
S07E04;A tradução de obras audiovisuais derivadas na era transmídia: E agora, tradutor? — Paulo Noriega;Em plena era transmídia, há diversas tendências no mundo audiovisual, como remakes, live-actions e continuações comemorativas. Sendo assim, como se preparar para traduzir um projeto que se enquadre em alguma das categorias anteriores? Quais são os principais aspectos que precisam ser levados em conta? Nesta palestra, Paulo Noriega apresentará todas as questões pertinentes à tradução de uma obra audiovisual derivada, e o melhor de tudo: com estudos de caso de sua carreira.
S07E05;Tradução para dublagem de língua turca — Leandra Machado;"Esta palestra irá tratar da estrutura da língua turca em comparação a língua portuguesa e uma análise da tradução para dublagem de trechos da série da Netflix ""Kubra"" partindo dos conceitos de tradução direta e indireta."
S07E06;Audiodescrição de Cinema de Terror — Marcella Wiffler Stefanini;Nesta palestra, iremos nos debruçar sobre a audiodescrição (AD) como uma modalidade de tradução audiovisual acessível (TAVA). Sob tal perspectiva, retomaremos alguns postulados da semiótica de Peirce para compreendermos a AD enquanto tradução intersemiótica e, com base nisso, pensarmos possibilidades de AD para o cinema de terror, tanto no que tange ao roteiro como à narração. Nossa reflexão irá partir da análise de alguns exemplos de AD de filmes de terror, bem como da percepção de alguns audiodescritores entrevistados durante minha pesquisa de doutorado e suas estratégias de tradução do terror.
S07E07;Falando das pedras no caminho na tradução de ficção — Carlos César da Silva;Que a rotina de trabalho de quem traduz pode cair na mesmice todo mundo sabe. Mas e justamente naquele dia em que o prazo está apertado e surge um trocadilho complicado? Um jogo de palavras cabeludo? Um poema floreado com rimas e métricas padronizadas? Uma palavra que caiu em desuso em 1700 e bolinha? Uma referência a um texto que só existe on-line em um PDF escaneado praticamente ilegível? Nessa palestra, vamos comentar sobre essas “pedras” que nos pegam de surpresa pelo caminho, mas que tornam o original mais dinâmico e, ao serem lapidadas, deixam nossa tradução mais prazerosa.
S07E08;Construindo uma carreira de alto nível na interpretação — Aldo Vidor, Denise Araújo e Evelise Scapol (APIC);Nessa palestra reunimos três intérpretes com experiência em diferentes mercados para falar sobre como chegar ao próximo patamar em sua carreira como intérprete profissional. Abordaremos as melhores práticas e condições de trabalho de acordo com renomadas organizações nacionais e internacionais - um prato cheio para quem está começando agora ou para quem já está no mercado mas sente que poderia chegar mais longe em sua carreira!
S07E09;Percy Jackson e a adaptação na tradução intersemiótica do livro para a tela — Bianca da Costa;Adaptar uma obra com uma grande legião de fãs é um enorme desafio e esse desafio pode ficar ainda maior quando uma tradução consagrada da língua-fonte para a língua-alvo já existe. Mas e quando essa tradução está em outro formato de mídia? Será que as mesmas palavras de um livro funcionam para as telas? Nesta palestra, Bianca da Costa explicará o processo de tradução que seguiu para traduzir a série “Percy Jackson e os Olimpianos” para dublagem e trará algumas cenas para exemplificar as adaptações entre livro e série.
S07E10;É rir para não chorar: Os desafios da tradução do humor na dublagem - Marun Reis;Nesta palestra, abordaremos as técnicas básicas da tradução para dublagem, os princípios do humor e lidaremos de forma prática com alguns exemplos de programas humorísticos.
S07E11;Como se preparar para um apocalipse zumbi — Denise Bobadilha;A intérprete Denise Bobadilha, que cobre (junto com sua sócia Natalie Graue) o noticiário ao vivo para a CNN Brasil há 4 anos, desde a estreia do canal, fala sobre o preparo para o inesperado. A sessão vai abordar o que um intérprete precisa fazer quando chega um momento de breaking news inesperado e é preciso entrar no ar em questão de minutos. Um submarino com bilionários se perdeu no oceano – o que devo saber? Ou um ataque que muda o cenário no Oriente Médio – quais nomes preciso ter na ponta da língua? É quase um preparo para o apocalipse, mas a gente mostra como é. Prepare papel e caneta, porque a palestra terá exercícios práticos!
S07E12;É possível distinguir a tradução automática da tradução humana? Uma perspectiva baseada em corpus e aprendizagem de máquina — Aline Tomasuolo;Essa pergunta intrigante virou tema de mestrado. Em um estudo inovador, Aline comparou traduções automáticas e traduções humanas do português para o inglês e textos em inglês nativo com uma amostragem de mais de 3 milhões de palavras. A resposta foi surpreendente. Embora o algoritmo não tenha detectado diferenças gramaticais significativas entre os três tipos de texto, a precisão na distinção lexical entre traduções automáticas e humanas atingiu incríveis 80% de taxa de acerto. Nessa palestra, vamos conversar sobre a trajetória dessa pesquisa e as possíveis implicações no mundo da tradução.
S07E13;Direitos autorais para tradutores — Gabriela Colicigno;O trabalho de tradução, especialmente a literária, também está protegido pela Lei de Direitos Autorais brasileira. É importante que todo mundo conheça a lei e entenda onde se encaixa o texto traduzido, quais são os direitos de quem traduz e o que configura e o que não configura ofensa à Lei 9610/98, e como podemos garantir o cumprimento dela.
S07E14;Enshittification: ou como nos acostumamos à degradação das plataformas online — Deborah Cornelio e Jorge Davidson;De uma ou outra forma, todos(as) somos testemunhas da degradação das plataformas online. Essa degradação nem sempre é visível em coisas importantes, muitas vezes é produto de um acúmulo de pequenas coisas que, individualmente, são quase imperceptíveis, mas que provocam uma sensação desconfortável. Cory Doctorow, um jornalista e escritor canadense, cunhou um nome para descrever a degradação ou decadência das plataformas online: enshittification (que poderíamos traduzir como embostificação). Entender como acontece esse processo é o foco da palestra.
S07E15;A Era da Informação (sob controle) — Roney Belhassof;"Estamos na era da informação, isso é indiscutível! Todavia nós controlamos o fluxo de informações ou ele tem se imposto a nós? E a qualidade dos dados e informações? Os conhecimentos que geramos são uma fonte de recursos ou estão se perdendo em uma diversidade de ""baús"" e acabam gerando mais ansiedade que desenvolvimento?
Vamos conversar principalmente sobre tranquilidade! Sobre a segurança de saber que não precisamos sobrecarregar a nossa memória quando temos um método para criar um ""segundo cérebro"" digital seguro e acessível.
Veremos ferramentas, mas acima de tudo pensaremos na busca, classificação e recuperação de conhecimento sem esforço.
"
S07E16;O novo mercado de tradução: a revolução da inteligência artificial — Aline Tomasuolo;"Há cerca 15 anos, capas de jornais e revistas anunciavam o fim da carreira dos
tradutores, com o advento e aperfeiçoamento do Google Tradutor. E cá estamos, mais
fortes do que nunca. O mesmo ocorre agora com o ChatGPT e IA. A tradução
automática nos mostrou que a tecnologia pode ser uma aliada valiosa, desde que a
utilizemos de forma ética e aprimorada. É hora de abraçar essa mudança e aprender a
surfar essa onda em vez de lutar contra ela. Nessa palestra, Aline vai abordar os atuais
usos já possibilitados pela inteligência artificial e apresentar recursos para se manter
atualizado conforme novas tecnologias e ferramentas surgirem."
S07E17;A Tradução Financeira com Dinaura Julles — Dinaura Julles;"""A Tradução financeira só abrange assuntos considerados difíceis? Impostos e Reforma Tributária, Fusões e Aquisições (M&A), Falência e Recuperação Judicial, Seguros.

O objetivo da palestra é contextualizar a tradução financeira no campo da tradução técnica e apresentar suas especificidades. E também “desmistificar” a ideia de que são traduções difíceis, que partem de textos originais já pouco compreensíveis. A partir do conhecimento dos conceitos e de algumas práticas diferentes nos Estados Unidos e no Brasil - que representam a maioria dos nossos trabalhos - e do domínio dos termos essenciais de temas que vão de impostos a seguros, passando por fusões e aquisições e falência e recuperação judicial, é possível realizar boas traduções de português para inglês e vice-versa.""
"
